Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001001,Male,Yes,0,Graduate,No,3435,0,115.0,360.0,,Semiurban,N
LP001002,Female,Yes,0,Not Graduate,No,1171,3072,148.0,360.0,1.0,Semiurban,Y
LP001003,Male,No,3+,Graduate,No,3837,6099,182.0,360.0,1.0,Urban,Y
LP001004,Male,No,0,Graduate,No,8502,2608,303.0,360.0,1.0,Semiurban,Y
LP001005,Male,No,0,Graduate,No,6785,0,,360.0,1.0,Urban,Y
LP001006,Male,No,2,Not Graduate,No,6354,0,245.0,360.0,1.0,Urban,Y
LP001007,Male,No,0,Not Graduate,No,4154,4471,183.0,360.0,1.0,Urban,Y
LP001008,Female,No,2,Graduate,No,2281,0,123.0,180.0,1.0,Rural,Y
LP001009,Male,Yes,0,Graduate,No,6695,1920,239.0,360.0,1.0,Urban,Y
LP001010,Male,Yes,0,Graduate,No,2979,3194,204.0,360.0,1.0,Urban,Y
LP001011,Male,Yes,0,Graduate,No,18223,3777,576.0,360.0,1.0,Rural,Y
LP001012,Female,nan,0,Graduate,No,6920,1488,241.0,360.0,,Urban,Y
LP001013,Female,No,3+,Graduate,No,3468,0,155.0,360.0,1.0,Urban,Y
LP001014,Male,Yes,0,Graduate,No,3405,1068,167.0,240.0,1.0,Urban,Y
LP001015,Male,No,0,Graduate,No,4648,864,139.0,360.0,,Urban,N
LP001016,Male,No,0,Graduate,No,4256,3853,182.0,360.0,0.0,Rural,N
LP001017,Male,Yes,0,Graduate,Yes,9605,2278,268.0,240.0,1.0,Semiurban,N
LP001018,Male,Yes,2,Graduate,Yes,5496,3434,206.0,360.0,1.0,Semiurban,Y
LP001019,Male,No,0,Graduate,No,3168,0,100.0,84.0,1.0,Semiurban,Y
LP001020,Male,Yes,1,Not Graduate,No,15279,0,344.0,360.0,1.0,Semiurban,N
LP001021,Male,No,3+,Graduate,No,5062,2888,281.0,360.0,1.0,Semiurban,Y
LP001022,Male,Yes,1,Graduate,No,7795,0,122.0,360.0,1.0,Urban,Y
LP001023,Male,No,3+,Graduate,No,3412,7892,337.0,480.0,1.0,Rural,Y
LP001024,Male,No,0,Graduate,Yes,6111,1153,135.0,180.0,1.0,Rural,Y
LP001025,Male,No,0,Graduate,No,5923,0,167.0,360.0,1.0,Semiurban,Y
LP001026,Male,Yes,0,Graduate,Yes,1581,0,36.0,360.0,1.0,Rural,Y
LP001027,Male,No,2,Not Graduate,No,16467,4443,430.0,360.0,1.0,Urban,Y
LP001028,Male,No,nan,Graduate,No,10661,0,344.0,480.0,1.0,Urban,Y
LP001029,Male,Yes,0,Graduate,No,3872,2073,204.0,360.0,1.0,Rural,Y
LP001030,Male,No,1,Graduate,No,2536,5416,196.0,360.0,1.0,Rural,Y
LP001031,Male,Yes,0,Graduate,No,6054,3043,229.0,360.0,,Rural,Y
LP001032,Male,Yes,1,Graduate,No,5177,4279,229.0,360.0,1.0,Semiurban,Y
LP001033,Male,Yes,0,Graduate,No,6083,0,185.0,360.0,1.0,Urban,Y
LP001034,Female,Yes,3+,Graduate,nan,5513,1115,220.0,300.0,0.0,Rural,N
LP001035,Female,Yes,1,Graduate,No,6659,0,179.0,360.0,1.0,Urban,Y
LP001036,Female,No,0,Graduate,nan,11712,0,331.0,360.0,0.0,Urban,N
LP001037,Male,Yes,0,Graduate,nan,6910,4621,406.0,360.0,1.0,Urban,Y
LP001038,Male,No,0,Not Graduate,No,2618,2818,112.0,360.0,1.0,Rural,Y
LP001039,Male,Yes,0,Graduate,No,11131,0,276.0,360.0,1.0,Semiurban,Y
LP001040,Male,Yes,0,Graduate,No,13152,956,508.0,84.0,1.0,Urban,N
LP001041,Male,Yes,2,Graduate,Yes,32572,11180,700.0,360.0,1.0,Semiurban,Y
LP001042,Male,No,1,Not Graduate,No,2504,0,72.0,360.0,0.0,Urban,N
LP001043,Male,Yes,0,Graduate,No,5685,0,149.0,360.0,1.0,Rural,Y
LP001044,Female,Yes,0,Graduate,No,1409,1660,99.0,360.0,1.0,Semiurban,Y
LP001045,Male,No,2,Graduate,No,6849,3698,293.0,180.0,0.0,Urban,N
LP001046,Male,Yes,1,Graduate,No,3537,1197,155.0,180.0,1.0,Urban,N
LP001047,Male,Yes,0,Graduate,No,15585,4090,467.0,360.0,1.0,Semiurban,Y
LP001048,Male,Yes,1,Graduate,No,3087,0,119.0,360.0,1.0,Urban,Y
LP001049,Male,No,0,Graduate,Yes,1783,3042,164.0,480.0,0.0,Semiurban,N
LP001050,Male,Yes,0,Graduate,No,3704,4858,173.0,360.0,1.0,Urban,Y
LP001051,Female,No,0,Graduate,Yes,1502,1257,108.0,360.0,1.0,Urban,Y
LP001052,Male,Yes,0,Graduate,No,7712,0,188.0,360.0,0.0,Rural,N
LP001053,Female,No,0,Graduate,Yes,1423,0,37.0,360.0,1.0,Rural,Y
LP001054,Female,No,3+,Graduate,No,4999,0,104.0,360.0,1.0,Urban,N
LP001055,Male,nan,2,Graduate,No,1412,2706,149.0,360.0,1.0,Semiurban,Y
LP001056,Female,Yes,1,Not Graduate,No,4055,4508,302.0,360.0,1.0,Rural,Y
LP001057,Male,No,0,Graduate,Yes,13174,2765,390.0,360.0,1.0,Urban,Y
LP001058,Male,Yes,0,Graduate,No,6102,0,215.0,360.0,,Semiurban,Y
LP001059,Male,Yes,1,Graduate,Yes,2927,0,129.0,360.0,1.0,Rural,Y
LP001060,Male,Yes,0,Not Graduate,nan,4823,3185,144.0,360.0,1.0,Semiurban,Y
LP001061,Male,No,0,Graduate,No,4968,955,141.0,360.0,1.0,Urban,Y
LP001062,Male,nan,0,Graduate,No,6526,515,248.0,12.0,1.0,Urban,Y
LP001063,Female,No,2,Graduate,No,2164,0,80.0,360.0,1.0,Urban,Y
LP001064,Male,Yes,0,Graduate,No,7013,3286,185.0,300.0,0.0,Rural,N
LP001065,Male,Yes,0,Graduate,Yes,1000,0,29.0,360.0,1.0,Urban,Y
LP001066,Male,No,2,Graduate,No,3367,0,80.0,360.0,1.0,Semiurban,Y
LP001067,Male,Yes,0,Graduate,No,3666,26077,700.0,360.0,1.0,Rural,Y
LP001068,Female,Yes,0,Not Graduate,nan,7186,0,98.0,360.0,1.0,Rural,N
LP001069,Male,Yes,0,Graduate,No,4981,0,132.0,360.0,1.0,Urban,Y
LP001070,nan,Yes,0,Graduate,Yes,2114,1892,142.0,180.0,0.0,Urban,N
LP001071,Male,Yes,2,Graduate,No,2721,3665,140.0,300.0,1.0,Semiurban,Y
LP001072,Male,Yes,0,Graduate,No,5536,2523,222.0,360.0,,Rural,N
LP001073,Male,Yes,0,Graduate,No,4687,2236,164.0,360.0,1.0,Semiurban,Y
LP001074,Female,Yes,2,Graduate,No,3472,0,154.0,360.0,1.0,Semiurban,Y
LP001075,Male,nan,2,Graduate,No,3683,0,76.0,180.0,1.0,Urban,Y
LP001076,Male,Yes,2,Not Graduate,No,7462,3280,334.0,360.0,1.0,Semiurban,N
LP001077,Male,Yes,0,Not Graduate,No,3602,594,127.0,360.0,,Semiurban,Y
LP001078,Male,No,0,Graduate,No,4661,2315,147.0,,1.0,Urban,Y
LP001079,Male,Yes,nan,Graduate,No,18069,0,291.0,180.0,1.0,Semiurban,Y
LP001080,Male,No,2,Not Graduate,No,2091,2536,116.0,480.0,0.0,Semiurban,N
LP001081,Female,No,0,Graduate,No,1617,0,94.0,360.0,1.0,Semiurban,Y
LP001082,Male,Yes,0,Not Graduate,No,7864,8179,532.0,360.0,0.0,Semiurban,N
LP001083,Male,Yes,0,Graduate,No,3270,3474,245.0,360.0,1.0,Rural,Y
LP001084,Male,No,3+,Graduate,No,4060,1653,165.0,360.0,1.0,Rural,Y
LP001085,Male,No,0,Graduate,No,3075,542,94.0,360.0,,Urban,N
LP001086,Male,Yes,0,Graduate,No,4205,4812,270.0,360.0,1.0,Urban,Y
LP001087,Male,Yes,0,Graduate,No,12824,1685,493.0,360.0,0.0,Semiurban,N
LP001088,Male,Yes,1,Graduate,No,7952,3372,273.0,84.0,1.0,Semiurban,Y
LP001089,Female,nan,2,Graduate,Yes,8244,0,,360.0,0.0,Semiurban,N
LP001090,Male,Yes,0,Graduate,No,2101,2475,123.0,360.0,1.0,Urban,Y
LP001091,Male,No,2,Graduate,No,2463,0,111.0,360.0,1.0,Rural,Y
LP001092,Male,No,3+,Not Graduate,No,1000,3597,123.0,360.0,0.0,Urban,Y
LP001093,Male,Yes,0,Graduate,No,3024,1365,108.0,360.0,1.0,Urban,Y
LP001094,Male,Yes,0,Not Graduate,Yes,8725,6890,277.0,480.0,1.0,Semiurban,Y
LP001095,Male,Yes,0,Graduate,No,6702,0,238.0,360.0,0.0,Rural,N
LP001096,Male,Yes,2,Graduate,No,4303,0,75.0,480.0,1.0,Semiurban,Y
LP001097,Male,Yes,1,Not Graduate,No,4849,2761,133.0,360.0,,Rural,N
LP001098,Male,Yes,1,Graduate,No,3250,3053,167.0,360.0,1.0,Urban,Y
LP001099,Male,No,2,Graduate,No,5557,3335,187.0,360.0,1.0,Rural,N
LP001100,Male,Yes,0,Graduate,No,7781,0,227.0,360.0,1.0,Rural,N
LP001101,Male,Yes,3+,Graduate,No,1863,2526,132.0,240.0,1.0,Rural,Y
LP001102,Male,No,0,Graduate,No,5882,2741,,480.0,1.0,Urban,Y
LP001103,Male,No,0,Not Graduate,No,8599,0,213.0,360.0,1.0,Urban,Y
LP001104,Male,No,1,Graduate,No,3831,0,123.0,360.0,1.0,Semiurban,Y
LP001105,Female,nan,2,Graduate,No,7483,3391,202.0,36.0,1.0,Rural,Y
LP001106,Male,Yes,0,Graduate,No,26603,2221,700.0,180.0,1.0,Urban,N
LP001107,Male,Yes,2,Graduate,nan,4616,785,164.0,360.0,0.0,Semiurban,N
LP001108,Male,No,3+,Graduate,No,6222,8193,349.0,360.0,1.0,Urban,Y
LP001109,Male,No,0,Graduate,Yes,3156,1262,88.0,360.0,1.0,Semiurban,Y
LP001110,Male,Yes,nan,Graduate,No,5479,1970,213.0,360.0,0.0,Urban,N
LP001111,Male,No,0,Graduate,No,6477,0,205.0,180.0,1.0,Urban,N
LP001112,Male,Yes,0,Graduate,No,5524,0,159.0,360.0,,Semiurban,Y
LP001113,Female,Yes,0,Graduate,No,2665,1047,150.0,360.0,1.0,Semiurban,Y
LP001114,Female,Yes,2,Graduate,No,5562,674,103.0,360.0,1.0,Rural,Y
LP001115,Male,Yes,1,Graduate,No,11817,4937,367.0,360.0,1.0,Rural,Y
LP001116,Female,Yes,0,Not Graduate,No,6432,2035,271.0,360.0,1.0,Rural,Y
LP001117,Female,Yes,0,Graduate,Yes,8753,0,,240.0,1.0,Semiurban,Y
LP001118,Male,No,1,Graduate,No,4263,1486,,360.0,0.0,Rural,N
LP001119,Female,Yes,0,Graduate,No,7707,0,202.0,240.0,1.0,Urban,Y
LP001120,Male,Yes,2,Graduate,No,5811,2006,180.0,300.0,1.0,Semiurban,Y
LP001121,Female,No,2,Graduate,No,2777,3534,135.0,,1.0,Semiurban,Y
LP001122,Female,No,0,Graduate,No,5949,2144,203.0,360.0,1.0,Semiurban,Y
LP001123,Male,No,3+,Graduate,No,2710,4576,134.0,360.0,1.0,Semiurban,Y
LP001124,Male,No,0,Graduate,Yes,3361,0,110.0,360.0,0.0,Rural,N
LP001125,Male,No,nan,Graduate,No,5506,1133,190.0,360.0,1.0,Semiurban,Y
LP001126,Male,Yes,1,Graduate,No,5874,0,124.0,360.0,1.0,Urban,Y
LP001127,Female,Yes,1,Graduate,No,2407,628,77.0,360.0,1.0,Urban,Y
LP001128,Female,Yes,0,Graduate,Yes,9250,2074,342.0,360.0,0.0,Semiurban,N
LP001129,Male,Yes,2,Not Graduate,No,6927,2414,198.0,480.0,,Urban,N
LP001130,Male,Yes,0,Not Graduate,No,3220,1915,154.0,360.0,1.0,Semiurban,Y
LP001131,Male,No,0,Not Graduate,No,1953,0,49.0,180.0,,Rural,Y
LP001132,Male,Yes,0,Not Graduate,No,4505,7041,317.0,360.0,0.0,Semiurban,N
LP001133,Male,Yes,0,Not Graduate,No,3760,0,96.0,360.0,,Urban,Y
LP001134,Male,Yes,0,Graduate,No,5259,849,68.0,360.0,1.0,Rural,Y
LP001135,Female,No,1,Graduate,No,3952,0,86.0,360.0,1.0,Rural,Y
LP001136,Male,Yes,2,Graduate,No,1473,0,34.0,360.0,1.0,Rural,Y
LP001137,Male,No,0,Graduate,No,3893,1881,164.0,360.0,1.0,Urban,Y
LP001138,Male,Yes,2,Graduate,No,4091,1829,174.0,360.0,1.0,Urban,Y
LP001139,Male,Yes,0,Graduate,No,7188,0,162.0,,1.0,Urban,Y
LP001140,nan,Yes,2,Graduate,No,3232,0,92.0,360.0,1.0,Rural,Y
LP001141,Female,No,2,Graduate,No,13456,1910,424.0,360.0,,Rural,N
LP001142,Male,Yes,0,Not Graduate,No,1560,0,75.0,360.0,1.0,Semiurban,Y
LP001143,Male,No,1,Graduate,No,10793,0,382.0,360.0,1.0,Urban,Y
LP001144,Male,Yes,0,Graduate,Yes,4295,1575,185.0,360.0,1.0,Rural,Y
LP001145,Male,Yes,0,Graduate,Yes,8231,0,217.0,360.0,,Urban,N
LP001146,Male,No,2,Graduate,No,5155,1501,193.0,240.0,,Semiurban,Y
LP001147,Male,No,0,Not Graduate,No,9737,960,385.0,360.0,1.0,Urban,Y
LP001148,Male,No,0,Graduate,No,3895,3891,256.0,360.0,1.0,Urban,Y
LP001149,Male,No,0,Not Graduate,No,2542,1682,133.0,240.0,1.0,Rural,N
LP001150,Male,No,2,Graduate,No,11525,3732,318.0,360.0,1.0,Urban,Y
LP001151,Female,No,0,Graduate,No,4591,0,122.0,360.0,1.0,Semiurban,N
LP001152,Male,No,0,Graduate,No,5613,0,182.0,360.0,0.0,Semiurban,N
LP001153,Male,No,1,Graduate,No,10309,4772,486.0,360.0,0.0,Semiurban,N
LP001154,Male,No,2,Graduate,No,2646,0,65.0,360.0,1.0,Urban,Y
LP001155,nan,Yes,0,Graduate,No,7025,1058,158.0,360.0,1.0,Urban,Y
LP001156,Male,No,0,Graduate,No,3449,9610,417.0,360.0,1.0,Semiurban,Y
LP001157,Male,Yes,0,Not Graduate,No,4540,0,174.0,360.0,1.0,Urban,Y
LP001158,Male,No,0,Graduate,Yes,5132,1662,144.0,360.0,1.0,Rural,Y
LP001159,Male,No,0,Not Graduate,nan,1997,610,83.0,360.0,1.0,Semiurban,Y
LP001160,Male,Yes,2,Graduate,No,3080,2331,162.0,36.0,0.0,Semiurban,N
LP001161,Male,No,1,Graduate,No,11055,2541,454.0,360.0,1.0,Rural,N
LP001162,Male,Yes,1,Graduate,No,8364,4918,439.0,240.0,1.0,Semiurban,Y
LP001163,Male,Yes,0,Graduate,No,4733,1119,192.0,360.0,,Rural,Y
LP001164,Male,No,2,Graduate,No,5686,1028,212.0,360.0,1.0,Urban,Y
LP001165,Male,Yes,0,Graduate,No,4119,4087,277.0,360.0,1.0,Rural,N
LP001166,Female,No,3+,Graduate,No,11091,0,283.0,,1.0,Rural,Y
LP001167,Male,No,1,Not Graduate,No,4358,0,117.0,360.0,1.0,Urban,Y
LP001168,Male,Yes,0,Graduate,No,5648,6355,360.0,360.0,1.0,Rural,Y
LP001169,Male,Yes,1,Graduate,No,9775,0,205.0,240.0,1.0,Rural,Y
LP001170,Male,Yes,0,Graduate,No,3082,0,95.0,360.0,1.0,Urban,Y
LP001171,Male,Yes,1,Graduate,No,12522,2837,535.0,360.0,1.0,Semiurban,N
LP001172,Male,nan,0,Graduate,nan,1962,0,87.0,180.0,1.0,Urban,Y
LP001173,Male,Yes,0,Graduate,No,13066,2680,372.0,480.0,0.0,Rural,N
LP001174,Male,Yes,2,Graduate,No,3929,6261,234.0,36.0,1.0,Urban,Y
LP001175,Male,Yes,0,Graduate,Yes,4248,1594,144.0,360.0,0.0,Semiurban,N
LP001176,Male,Yes,2,Graduate,nan,1581,2272,81.0,360.0,1.0,Semiurban,Y
LP001177,Male,No,0,Graduate,No,3741,0,86.0,360.0,1.0,Urban,Y
LP001178,Male,Yes,1,Not Graduate,Yes,2633,391,131.0,360.0,1.0,Semiurban,N
LP001179,Female,No,1,Not Graduate,No,3413,9604,283.0,360.0,1.0,Urban,Y
LP001180,Male,Yes,0,Graduate,No,4526,1586,167.0,,1.0,Rural,Y
LP001181,Male,No,0,Graduate,No,8731,4247,339.0,360.0,1.0,Urban,Y
LP001182,Male,Yes,0,Graduate,No,5566,0,191.0,360.0,1.0,Semiurban,Y
LP001183,Female,Yes,0,Graduate,No,5911,7189,299.0,,0.0,Semiurban,N
LP001184,Female,No,0,Graduate,No,2547,0,38.0,360.0,0.0,Semiurban,Y
LP001185,Male,Yes,1,Graduate,No,2897,2528,116.0,360.0,1.0,Semiurban,Y
LP001186,Male,No,3+,Graduate,No,14461,1594,453.0,360.0,1.0,Urban,Y
LP001187,Female,No,2,Graduate,No,3161,0,128.0,360.0,1.0,Urban,Y
LP001188,Male,Yes,2,Graduate,No,13276,0,333.0,480.0,,Semiurban,Y
LP001189,Male,Yes,2,Not Graduate,No,4247,0,114.0,360.0,0.0,Semiurban,Y
LP001190,Male,No,1,Not Graduate,No,4921,1381,121.0,360.0,0.0,Semiurban,N
LP001191,Male,Yes,0,Graduate,No,9341,7162,439.0,360.0,1.0,Rural,Y
LP001192,Female,Yes,3+,Not Graduate,Yes,10542,0,259.0,360.0,1.0,Urban,N
LP001193,Female,Yes,1,Not Graduate,No,4598,4679,227.0,360.0,1.0,Rural,Y
LP001194,Male,Yes,1,Graduate,No,3893,0,94.0,360.0,1.0,Rural,Y
LP001195,Male,Yes,0,Graduate,No,4752,874,121.0,180.0,,Urban,N
LP001196,Male,No,0,Graduate,No,6019,0,131.0,360.0,1.0,Urban,Y
LP001197,Male,No,0,Not Graduate,No,8389,4772,388.0,360.0,,Semiurban,N
LP001198,Female,No,2,Not Graduate,No,4927,3349,174.0,180.0,1.0,Urban,N
LP001199,Female,No,0,Graduate,No,7124,6813,289.0,360.0,0.0,Semiurban,N
LP001200,Male,Yes,0,Graduate,No,13134,3953,344.0,360.0,1.0,Rural,Y
LP001201,Male,No,3+,Graduate,Yes,6178,1515,288.0,360.0,1.0,Semiurban,Y
LP001202,Male,Yes,0,Graduate,No,5925,1707,252.0,480.0,1.0,Rural,Y
LP001203,Male,Yes,0,Graduate,No,1975,3203,142.0,360.0,1.0,Semiurban,Y
LP001204,Female,Yes,0,Not Graduate,nan,1013,590,58.0,,1.0,Rural,Y
LP001205,Male,Yes,2,Graduate,No,6204,9618,334.0,360.0,1.0,Semiurban,Y
LP001206,Male,No,3+,Not Graduate,No,4642,0,156.0,360.0,1.0,Urban,Y
LP001207,Male,No,0,Not Graduate,No,3608,7036,184.0,360.0,1.0,Urban,Y
LP001208,Male,Yes,2,Graduate,No,5688,0,,360.0,1.0,Semiurban,Y
LP001209,Male,Yes,0,Graduate,No,4739,7123,334.0,360.0,1.0,Urban,Y
LP001210,Male,nan,3+,Graduate,No,9668,14214,,360.0,0.0,Rural,Y
LP001211,Male,Yes,2,Graduate,No,5175,1182,137.0,360.0,0.0,Semiurban,N
LP001212,Male,Yes,2,Graduate,No,3139,0,119.0,360.0,1.0,Rural,Y
LP001213,Male,Yes,0,Graduate,No,8902,0,280.0,360.0,1.0,Urban,Y
LP001214,Male,No,3+,Graduate,No,4314,1011,148.0,360.0,1.0,Rural,Y
LP001215,Male,No,1,Graduate,No,6740,4209,250.0,360.0,1.0,Urban,Y
LP001216,Male,Yes,0,Graduate,Yes,3690,0,68.0,360.0,1.0,Urban,Y
LP001217,Male,Yes,2,Graduate,No,3327,1957,145.0,360.0,1.0,Rural,Y
LP001218,Male,No,0,Graduate,No,5169,6742,272.0,360.0,1.0,Urban,Y
LP001219,Male,No,2,Graduate,No,4952,928,158.0,360.0,1.0,Urban,Y
